:Data_list: ace_mag_1m.txt
:Created: 2021 Jan 21 1719 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2021 01 21  1639   59235   59940    0     1.6     1.1    -0.2     1.9    -5.7    34.2
2021 01 21  1640   59235   60000    0     0.1     1.8     0.8     2.0    25.5    87.4
2021 01 21  1641   59235   60060    0    -0.2     1.9     1.1     2.2    29.8    94.9
2021 01 21  1642   59235   60120    0    -0.2     1.9     1.0     2.1    26.8    95.6
2021 01 21  1643   59235   60180    0    -0.7     1.7     1.1     2.1    29.4   112.3
2021 01 21  1644   59235   60240    0     0.6     1.7     0.5     1.8    17.2    71.6
2021 01 21  1645   59235   60300    0     1.2     1.1    -0.2     1.7    -6.2    43.1
2021 01 21  1646   59235   60360    0     1.4     1.1    -0.3     1.8    -8.3    37.9
2021 01 21  1647   59235   60420    0     1.4     1.0    -0.3     1.7   -11.1    35.6
2021 01 21  1648   59235   60480    0     1.4     1.0    -0.4     1.8   -12.3    36.4
2021 01 21  1649   59235   60540    0     1.5     0.9    -0.6     1.8   -18.2    31.0
2021 01 21  1650   59235   60600    0     1.4     0.8    -0.6     1.8   -21.4    30.8
2021 01 21  1651   59235   60660    0     1.4     1.0    -0.6     1.8   -19.0    35.3
2021 01 21  1652   59235   60720    0     1.3     0.9    -0.6     1.7   -21.9    33.1
2021 01 21  1653   59235   60780    0     1.4     0.8    -0.7     1.7   -23.4    29.4
2021 01 21  1654   59235   60840    0     1.4     0.9    -0.7     1.8   -23.4    33.6
2021 01 21  1655   59235   60900    0     1.4     1.0    -0.5     1.8   -17.7    37.5
2021 01 21  1656   59235   60960    0     1.4     0.9    -0.6     1.8   -19.4    32.9
2021 01 21  1657   59235   61020    0     1.4     0.9    -0.4     1.7   -15.0    34.0
2021 01 21  1658   59235   61080    0     1.3     0.6    -0.8     1.6   -28.4    26.2
2021 01 21  1659   59235   61140    0     1.3     0.8    -0.7     1.7   -25.2    32.4
2021 01 21  1700   59235   61200    0     1.3     0.8    -0.6     1.6   -20.8    33.0
2021 01 21  1701   59235   61260    0     0.9     1.4    -0.3     1.7   -10.4    58.7
2021 01 21  1702   59235   61320    0     0.8     1.4    -0.3     1.7    -9.1    60.7
2021 01 21  1703   59235   61380    0     1.0     1.5    -0.3     1.9   -10.1    56.1
2021 01 21  1704   59235   61440    0     1.1     1.5    -0.4     1.9   -11.7    53.4
2021 01 21  1705   59235   61500    0     1.3     1.0    -0.6     1.8   -18.2    37.8
2021 01 21  1706   59235   61560    0     1.2     1.2    -0.5     1.8   -15.1    43.4
2021 01 21  1707   59235   61620    0     1.2     1.3    -0.3     1.8   -10.6    46.4
2021 01 21  1708   59235   61680    0     1.3     1.3    -0.3     1.8    -8.6    45.5
2021 01 21  1709   59235   61740    0     1.2     1.3    -0.2     1.8    -6.5    47.5
2021 01 21  1710   59235   61800    0     1.1     1.3    -0.3     1.8   -10.5    49.6
2021 01 21  1711   59235   61860    0     1.2     1.3    -0.5     1.8   -15.4    48.3
2021 01 21  1712   59235   61920    0     1.1     1.5    -0.5     1.9   -13.9    53.8
2021 01 21  1713   59235   61980    0     1.2     1.5    -0.4     1.9   -11.9    51.5
2021 01 21  1714   59235   62040    0     1.2     1.5    -0.3     1.9    -9.6    49.9
2021 01 21  1715   59235   62100    0     1.4     1.2    -0.3     1.9    -9.7    42.3
2021 01 21  1716   59235   62160    0     1.5     1.1    -0.3     1.9   -10.1    35.5
2021 01 21  1717   59235   62220    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
