:Data_list: ace_swepam_1m.txt
:Created: 2021 Jan 21 1719 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2021 01 21  1549   59235   56940    0        4.1      298.1     1.34e+04
2021 01 21  1550   59235   57000    0        4.5      296.4     1.18e+04
2021 01 21  1551   59235   57060    0        4.8      297.9     1.21e+04
2021 01 21  1552   59235   57120    0        4.6      297.3     1.23e+04
2021 01 21  1553   59235   57180    0        4.5      296.4     1.37e+04
2021 01 21  1554   59235   57240    0        4.6      297.7     1.48e+04
2021 01 21  1555   59235   57300    0        4.3      300.5     1.53e+04
2021 01 21  1556   59235   57360    0        4.1      302.0     1.69e+04
2021 01 21  1557   59235   57420    0        4.1      303.0     1.80e+04
2021 01 21  1558   59235   57480    0        4.1      304.3     1.69e+04
2021 01 21  1559   59235   57540    0        4.4      304.1     1.62e+04
2021 01 21  1600   59235   57600    0        4.5      306.9     1.74e+04
2021 01 21  1601   59235   57660    0        4.2      303.3     1.56e+04
2021 01 21  1602   59235   57720    0        4.3      303.8     1.34e+04
2021 01 21  1603   59235   57780    0        4.4      301.2     1.20e+04
2021 01 21  1604   59235   57840    0        4.5      304.5     1.21e+04
2021 01 21  1605   59235   57900    0        4.1      300.4     1.77e+04
2021 01 21  1606   59235   57960    0        4.2      302.5     1.58e+04
2021 01 21  1607   59235   58020    0        3.8      302.4     1.56e+04
2021 01 21  1608   59235   58080    0        4.0      303.2     1.60e+04
2021 01 21  1609   59235   58140    0        4.1      302.9     1.60e+04
2021 01 21  1610   59235   58200    0        3.9      302.6     1.53e+04
2021 01 21  1611   59235   58260    0        4.1      301.5     1.64e+04
2021 01 21  1612   59235   58320    0        4.4      300.8     1.72e+04
2021 01 21  1613   59235   58380    0        4.4      301.2     1.60e+04
2021 01 21  1614   59235   58440    0        4.3      302.0     1.55e+04
2021 01 21  1615   59235   58500    0        4.1      303.4     1.58e+04
2021 01 21  1616   59235   58560    0        4.2      302.9     1.68e+04
2021 01 21  1617   59235   58620    0        4.6      303.0     1.74e+04
2021 01 21  1618   59235   58680    0        4.5    -9999.9    -1.00e+05
2021 01 21  1619   59235   58740    0        4.5      304.6     1.58e+04
2021 01 21  1620   59235   58800    0        4.0      303.2     1.54e+04
2021 01 21  1621   59235   58860    0        4.6      303.3     1.39e+04
2021 01 21  1622   59235   58920    0        4.7      302.6     1.49e+04
2021 01 21  1623   59235   58980    0        4.1      301.8     1.47e+04
2021 01 21  1624   59235   59040    0        4.5      300.8     1.49e+04
2021 01 21  1625   59235   59100    0        4.1      301.9     1.36e+04
2021 01 21  1626   59235   59160    0        3.8      301.5     1.35e+04
2021 01 21  1627   59235   59220    0        4.1      301.2     1.55e+04
2021 01 21  1628   59235   59280    0        4.4      302.3     1.71e+04
2021 01 21  1629   59235   59340    0        4.2      302.2     1.64e+04
2021 01 21  1630   59235   59400    0        4.0      298.8     1.49e+04
2021 01 21  1631   59235   59460    0        4.2      293.8     1.41e+04
2021 01 21  1632   59235   59520    0        4.4      293.4     1.35e+04
2021 01 21  1633   59235   59580    0        4.8      294.2     1.47e+04
2021 01 21  1634   59235   59640    0        4.0      293.6     1.75e+04
2021 01 21  1635   59235   59700    0        4.3      291.8     1.37e+04
2021 01 21  1636   59235   59760    0        3.9      291.2     1.68e+04
2021 01 21  1637   59235   59820    0        3.5      290.7     1.30e+04
2021 01 21  1638   59235   59880    0        3.7      289.4     1.67e+04
2021 01 21  1639   59235   59940    0        3.7      289.3     1.61e+04
2021 01 21  1640   59235   60000    0        3.9      291.3     2.03e+04
2021 01 21  1641   59235   60060    0        3.9      294.1     1.72e+04
2021 01 21  1642   59235   60120    0        3.8      295.0     1.52e+04
2021 01 21  1643   59235   60180    0        4.1      296.2     1.71e+04
2021 01 21  1644   59235   60240    0        4.3      293.9     1.56e+04
2021 01 21  1645   59235   60300    0        4.1      288.8     1.15e+04
2021 01 21  1646   59235   60360    0        4.1      287.2     1.11e+04
2021 01 21  1647   59235   60420    0        4.0      286.9     1.27e+04
2021 01 21  1648   59235   60480    0        4.0      286.5     1.22e+04
2021 01 21  1649   59235   60540    0        4.1      287.3     1.53e+04
2021 01 21  1650   59235   60600    0        4.4      287.2     1.22e+04
2021 01 21  1651   59235   60660    9    -9999.9    -9999.9    -1.00e+05
2021 01 21  1652   59235   60720    0        4.4      288.2     1.20e+04
2021 01 21  1653   59235   60780    0        3.8      287.3     1.42e+04
2021 01 21  1654   59235   60840    0        4.1      288.0     1.28e+04
2021 01 21  1655   59235   60900    0        3.9      288.6     1.39e+04
2021 01 21  1656   59235   60960    0        3.9      288.1     1.36e+04
2021 01 21  1657   59235   61020    0        3.8      287.1     1.34e+04
2021 01 21  1658   59235   61080    0        4.1      287.4     1.25e+04
2021 01 21  1659   59235   61140    0        4.1      288.1     1.26e+04
2021 01 21  1700   59235   61200    0        4.1      288.2     1.34e+04
2021 01 21  1701   59235   61260    0        4.1      287.9     1.36e+04
2021 01 21  1702   59235   61320    0        3.8      288.4     1.34e+04
2021 01 21  1703   59235   61380    0        3.8      289.8     1.28e+04
2021 01 21  1704   59235   61440    0        3.7      290.1     1.33e+04
2021 01 21  1705   59235   61500    0        4.3      290.7     1.30e+04
2021 01 21  1706   59235   61560    0        3.9      290.6     1.64e+04
2021 01 21  1707   59235   61620    0        4.2      289.4     1.22e+04
2021 01 21  1708   59235   61680    0        3.9      289.1     1.62e+04
2021 01 21  1709   59235   61740    0        3.7      288.7     1.23e+04
2021 01 21  1710   59235   61800    0        4.0      289.1     1.53e+04
2021 01 21  1711   59235   61860    0        4.2      290.6     1.40e+04
2021 01 21  1712   59235   61920    0        3.7      290.7     1.60e+04
2021 01 21  1713   59235   61980    0        3.8      290.8     1.54e+04
2021 01 21  1714   59235   62040    0        3.7      290.7     1.42e+04
2021 01 21  1715   59235   62100    0        3.6      290.8     1.40e+04
2021 01 21  1716   59235   62160    0        3.7      292.1     1.65e+04
2021 01 21  1717   59235   62220    9    -9999.9    -9999.9    -1.00e+05
